Mal_id,Title,Title English,Title Japanese,Type,Source,Episodes,Status,Airing,Aired From,Aired To,Score,Rank,Popularity,Members,Favorites,Synopsis,Studios,Genres,Themes
33857,"Saitama-ken Zaijuu, Fujiyama Osamu, 33-sai, Mushoku (NEET).: Fujilog Nyuumon-hen Specials",,埼玉県在住、フジヤマオサム、33歳、無職(ニート)。～フジログ入門編～,Special,Original,4.0,Finished Airing,False,2011-02-18,,,21440.0,20416,258,0,"DVD exclusive episodes, chronologically episode 26-29.",,Comedy,
33858,Kissaten Soudou,,喫茶店騒動,ONA,Other,1.0,Finished Airing,False,2009-10-08,,5.23,12827.0,19217,326,0,A customer and cafe owner get into a fight.,,Comedy,
33859,Chicken Papa,Chicken Papa,チキンパパ,ONA,Original,1.0,Finished Airing,False,2010-03-30,,4.21,13703.0,10634,2897,24,A rooster who happens to be a father.,,Comedy,
33860,Saru Kani Gassen (Yokoku),,猿蟹合戦（予告）,ONA,Other,1.0,Finished Airing,False,2012-07-31,,5.07,13113.0,18830,350,0,An adaptation of the classic Japanese folktale albeit a teaser.,,,Historical
33861,Nani no Yaku ni Mo Tatanai Karappona Hanashi,,何の役にも立たない空っぽな話,ONA,Radio,2.0,Finished Airing,False,2013-08-28,2013-10-23,4.95,13248.0,19289,321,0,Animation made for two Makoto Otake Golden Radio bits.,,Comedy,
33862,Chichi Kaeru,,父カエル,ONA,Original,1.0,Finished Airing,False,2015-06-12,,5.57,11881.0,19816,290,0,A soon-to-be father frog neglects his pregnant wife by going on adulterous affairs.,,Drama,
33863,Cakes,,Cakes,ONA,Original,1.0,Finished Airing,False,2016-05-09,,4.97,13216.0,17885,423,0,Sweets having idle chatter.,,Comedy,
33864,Fujilog (ONA),,フジログ,ONA,Other,2.0,Finished Airing,False,2012-03-29,2012-07-20,,20623.0,19683,298,0,"The first episode is a motion capture of the Fujilog characters with Perfume's song with the raw data provided by the Perfume website.

The second episode is smooth/realistic CG animation on top of real life footage; it shows Fujiyama in his OSAM 1-gou that we see in the TV series.",,Comedy,Music
33865,8-shaku 8-wa Kerakumeguri: Igyou Kaikitan The Animation,,八尺八話快樂巡り 異形怪奇譚 The Animation,OVA,Manga,3.0,Finished Airing,False,2016-11-25,2017-12-22,6.35,,6289,11794,71,"Based on the manga by Jyoka.

A young man caught hitchhiking tells a woman a horrific story.

In it, we find a very young boy who, one afternoon, crossed the path of a woman of unreal greatness. Panicked, he went home and told his grandparents what he had seen.
But this woman was not unknown to them...

(Source: Nautiljon)",Seven,"Supernatural, Hentai",
33866,Wonder,,『WONDER』,Music,Music,1.0,Finished Airing,False,2012-12-22,,4.72,,17276,473,0,"A music video for 1000say's song ""Wonder.""",,,"Music, Space"
33867,Kabi Usagi (2016),,カビうさぎ,ONA,Original,1.0,Finished Airing,False,2016-06-26,,5.24,12796.0,18304,393,0,"Four years after the original Kabi Usagi shorts, a new episode was released. This was longer than the original, contained smoother animation, was fully voiced (unlike the original which has no voice acting), and numbered as ""story 01."" A series/additional numbered shorts were expected under this franchise revival but it never came to fruition after this first episode.",,Comedy,
33870,Kabi Usagi,,カビうさぎ,ONA,Original,3.0,Finished Airing,False,2012-07-05,2012-08-10,5.18,12920.0,19296,321,0,Shorts focusing on the cute (albeit bittersweet) lives of several rabbits with mold growing on them. They dream to spread their mold all over the world.,,Comedy,
33871,Estima: Sense of Wonder,,【ESTIMA】 Sense of Wonder,CM,Original,13.0,Finished Airing,False,2016-06-24,2016-01-01,4.62,,15031,797,1,Promotional shorts for Toyota's Estima (or Previa) car make.,P.I.C.S.,"Comedy, Sci-Fi",
33872,Fujinkoron-senpai,,婦人公論センパイ,PV,Original,1.0,Finished Airing,False,2016-05-23,,5.02,,16762,522,0,"Short promotional video for the Fujinkoron magazine, starring employees of the editorial department.",HOTZIPANG,Comedy,
33874,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Maguro no Notta Keikan,,こちら葛飾区亀有公園前派出所 マグロに乗った警官,TV Special,Manga,1.0,Finished Airing,False,2005-01-02,,6.49,7115.0,14984,809,0,A Kochikame special that takes place on a fisherman's boat.,Gallop,"Comedy, Mystery","Adult Cast, Detective"
33875,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryoutsu vs. Nakimushi Idol!? Nihon 1-shuu Dai Sugoroku Game!!,,こちら葛飾区亀有公園前派出所 両津VS泣き虫アイドル!? 日本1周大すごろくゲーム!!,Special,Manga,1.0,Finished Airing,False,2005-03-27,,6.36,7916.0,15671,666,0,A Kochikame special pitting Ryoutsu against Aidoru.,Gallop,Comedy,"Adult Cast, Detective"
33876,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryou-san to Chuuken Lucky Monogatari - Kameari Dai Houimou wo Kawase!!,,こちら葛飾区亀有公園前派出所 両さんと忠犬ラッキー物語 〜亀有大包囲網をかわせ!!,Special,Manga,1.0,Finished Airing,False,2005-10-23,,6.4,7670.0,15572,682,0,A Kochikame television special.,Gallop,Comedy,"Adult Cast, Detective"
33877,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Hashire! Ryoutsu-shiki Chinchin Densha,,こちら葛飾区亀有公園前派出所 走れ!両津式チンチン電車〜思い出の大次郎号〜,Special,Manga,1.0,Finished Airing,False,2006-04-02,,6.56,6718.0,15299,730,0,The first Kochikame television special of 2006.,Gallop,Comedy,"Adult Cast, Detective"
33878,"Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryoutsu no Asakusa Renewal Daisakusen!! - Aa, Omoide no Hanayashiki",,こちら葛飾区亀有公園前派出所 両津の浅草リニューアル大作戦!! 〜あぁ 思い出の花やしき〜,Special,Manga,1.0,Finished Airing,False,2006-09-24,,6.32,8160.0,15670,666,0,A second and final Kochikame special of 2006.,Gallop,Comedy,"Adult Cast, Detective"
33879,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Seton Tankentai! Sumidagawa no Chikai - Omoide no Shiroi Kujira wo Sagase!,,こちら葛飾区亀有公園前派出所 シートン探検隊!隅田川の誓い〜思い出の白い鯨を探せ!〜,Special,Manga,2.0,Finished Airing,False,2007-08-05,2007-08-12,6.53,6899.0,15611,675,1,"The two-part Kochikame special, wherein Ryoutsu helps a zoologist friend capture a real white whale.",Gallop,Comedy,"Adult Cast, Detective"
33880,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryou-san no Sushi Kui Nee! - Choujou Maguro Taiketsu!!,,こちら葛飾区亀有公園前派出所 両さんの寿司食いねえ!〜頂上マグロ対決!!〜,Special,Manga,2.0,Finished Airing,False,2007-09-30,2007-10-07,6.43,7493.0,15538,688,1,A two part Kochikame special wherein Ryoutsu becomes involved in a sushi chef's dealings.,Gallop,Comedy,"Adult Cast, Detective"
33881,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Washi to Ore!? - Bokura wa Asakusa Shounen Tanteidan!,,こちら葛飾区亀有公園前派出所 ワシと俺!?〜ぼくらは浅草少年探偵団!〜,Special,Manga,2.0,Finished Airing,False,2008-04-06,2008-04-13,6.43,7493.0,15509,693,0,An amazing time machine invention allows Ryoutsu to return to the years of his childhood.,Gallop,Comedy,"Adult Cast, Detective"
33882,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Mezase! Kameari Superstar!! Ryoutsu-shiki Idol e no Michi!,,こちら葛飾区亀有公園前派出所 目指せ!亀有スーパースター!!両津式アイドルへの道!,Special,Manga,2.0,Finished Airing,False,2008-10-26,2008-11-02,6.33,8079.0,15317,725,0,A new idol unit is formed to teach people the importance of traffic safety.,Gallop,Comedy,"Adult Cast, Detective"
33883,Chao You Bing,,超有病,ONA,Web manga,4.0,Finished Airing,False,2014-04-25,2014-08-20,5.35,12552.0,8494,5693,18,A collection of animation that highlights the Sickness (increasing stupidity) that is plaguing this generation: Chao You Bing,,"Comedy, Fantasy",Parody
33884,Tokyu Plaza Ginza Open,Tokyu Plaza Ginza Open,Tokyu Plaza Ginza Open,CM,Original,1.0,Finished Airing,False,2016-03-27,,5.63,,18079,409,0,"A commercial made to advertise the grand opening of the Tokyu Plaza Ginza, a giant indoor shopping mall with restaurants, cafes, boutiques, furiniture, and spas.",,Slice of Life,
33885,Hane (2015),,羽,Music,Music,1.0,Finished Airing,False,2015-12-25,,5.63,,16193,591,0,Official music video for Koushi Inaba's 5th single Hane. The video features a girl running through a desolate city with occasional cuts to the singer in the studio.,,,Music
33886,Jikkyou Chuukei,,実況中継,Music,Music,1.0,Finished Airing,False,2014-02-04,,5.49,,15443,704,0,Official music video for Radwimps' Jikkyou Chuukei song.,P.I.C.S.,Avant Garde,Music
33887,Time for Christmas,,Time for Christmas　,Music,Music,1.0,Finished Airing,False,2011-12-14,,5.58,,18896,347,0,Official music video for Glay's Time for Christmas song from the HOpe and The Silver Sunrise album.,,,Music
33888,Omoi Au Christmas 2011,,想いあうクリスマス2011,CM,Original,3.0,Finished Airing,False,2011-11-15,2011-12-17,5.29,,19277,322,0,"A Christmas commercial campaign funded by AFLAC. 

2 episodes show the ducks acting like Santa with a song sung by songstress Mayuminu. A 3rd commercial was made combining the previous 2 with extra footage and a song sung by Fukushima Prefectural Asaka Reimei school choir.",,Fantasy,
33889,Saredo Tsumibito wa Ryuu to Odoru,Dances with the Dragons,されど罪人は竜と踊る,TV,Light novel,12.0,Finished Airing,False,2018-04-06,2018-06-22,5.78,11029.0,3111,56158,49,"It is a world replete with dragons and Jushiki sorcerers. Jushiki is a devastatingly powerful formula that can alter the laws of physics, capable of creating enormous TNT explosives or poisonous gas through plasma and nuclear fusion. A down-on-his-luck sorcerer named Gayus joins forces with the beautiful but cruel Jushiki practitioner, Gigina, as bounty hunters pursuing dragons. Then one day, they are presented with an odd request: to serve as security guards for a grand festival put on by Mouldeen, the ruler of their kingdom. It is then that a mysterious serial killing of Jushiki sorcerers begins.

(Source: TBS Global Business)",Seven Arcs Pictures,"Action, Drama, Fantasy, Sci-Fi",
33894,Sensou: Kodomo-tachi no Yuigon,,戦争－子どもたちの遺言,Movie,Other,1.0,Finished Airing,False,1984-01-01,,,13918.0,21994,171,0,Focuses on children who have become victims of destruction by the air raids. Shown at film festivals and museums.,,Drama,Historical
33895,Kimi Shitteru? Shuto Enjou Anime Tokyo Dai Kuushuu,,君知ってる？首都炎上アニメ東京大空襲,Movie,Other,1.0,Finished Airing,False,1988-01-01,,,16882.0,22143,165,0,"An anime based on the testimony of three survivors of the devastation from the Operation Meetinghouse air raid on Tokyo which caused over 100,000 deaths.",,Drama,Historical
33896,Kayoko Sakura no Saku Hi,,かよこ桜の咲く日,OVA,Other,1.0,Finished Airing,False,,,,16797.0,22141,165,0,"An anime about the real story of 15 year old Kayoko Hayashi. After the Nagasaki atomic bomb, Kayoko's body was found 21 days later crushed under the Shiroyama school building where she had been volunteering for the war effort. 50 cherry tree saplings were donated by her mother (6 of which have survived today) to the Shiroyama elementary school as a memorial to her daughter and to the other children who lost their lives so that people many pray for peace.",,Drama,Historical
